,state,2020_pop,2020_whitepop,2020_white_per,2020_minority_per,conv_18to21,conv_per100K,conv_white_per,conv_minority_per,by_white_pop,by_minority_pop,model_coeffs
38,Pennsylvania,10353548,8011431,0.773786049,0.2262139509999999,5022,49.0,0.2964954201513341,0.7035045798486659,0.4772906288486659,-0.4772906288486659,3.496246558782395
39,Rhode Island,887594,661221,0.744958844,0.255041156,384,43.0,0.3046875,0.6953125,0.440271344,-0.440271344,-9.834200441954538
40,South Carolina,4014460,2645357,0.65895712,0.34104288,2920,73.0,0.2712328767123287,0.7287671232876712,0.3877242432876712,-0.3877242432876712,8.06150969914268
41,South Dakota,669255,561954,0.839670977,0.1603290229999999,1836,274.0,0.2881263616557734,0.7118736383442266,0.5515446153442267,-0.5515446153442267,4.708679614188144
42,Tennessee,5384473,4013858,0.745450483,0.2545495169999999,5130,95.0,0.4387914230019493,0.5612085769980506,0.3066590599980507,-0.3066590599980507,7.008021962322812
43,Texas,21866700,11466950,0.524402402,0.475597598,67282,308.0,0.0677149906364257,0.9322850093635742,0.4566874113635742,-0.4566874113635741,7.272073083524585
44,Utah,2324051,1861739,0.801074933,0.198925067,2558,110.0,0.3534010946051603,0.6465989053948398,0.4476738383948397,-0.4476738383948397,-13.968125381539203
45,Vermont,524482,477428,0.910284814,0.0897151859999999,576,110.0,0.5104166666666666,0.4895833333333333,0.3998681473333334,-0.3998681473333334,-23.449032408212194
46,Virginia,6745054,4235488,0.627939821,0.372060179,4943,73.0,0.2862634027918268,0.7137365972081732,0.3416764182081732,-0.3416764182081732,9.742685180724159
47,Washington,6024689,4190823,0.695608188,0.304391812,2510,42.0,0.3509960159362549,0.649003984063745,0.3446121720637451,-0.344612172063745,-10.44200131378033
48,West Virginia,1432932,1301276,0.908121251,0.091878749,1952,136.0,0.5199795081967213,0.4800204918032786,0.3881417428032786,-0.3881417428032786,-9.725154641385167
49,Wisconsin,4612300,3837032,0.831912928,0.1680870719999999,1567,34.0,0.3120612635609445,0.6879387364390555,0.5198516644390556,-0.5198516644390556,-3.0190394304052246
50,Wyoming,441337,381441,0.864285115,0.1357148849999999,648,147.0,0.4537037037037037,0.5462962962962963,0.4105814112962963,-0.4105814112962964,-0.0
