state,2018,2019,2020,2021,average,2020_pop,2020_whitepop,2020_white_per,2020_minority_per,conv_18to21,conv_per100K,conv_white_per,conv_minority_per,by_white_pop,by_minority_pop
Alabama,4891628,4907965,4921532,5039877,4940250.5,3917166,2595046,0.662480477,0.337519523,3667,94.0,0.34196891191709844,0.6580310880829016,0.3205115650829016,-0.3205115650829016
Alaska,736624,733603,731158,732673,733514.5,554003,349626,0.631090445,0.368909555,612,110.0,0.4591503267973856,0.5408496732026145,0.1719401182026144,-0.17194011820261446
Arizona,7164228,7291843,7421401,7276316,7288447.0,5541976,3549308,0.640440882,0.35955911799999996,18052,326.0,0.05290272545978285,0.9470972745402172,0.5875381565402172,-0.5875381565402172
Arkansas,3012161,3020985,3030522,3025891,3022389.75,2312273,1683440,0.728045521,0.271954479,2830,122.0,0.36289752650176677,0.6371024734982332,0.3651479944982332,-0.3651479944982332
California,39437463,39437610,39368078,39237836,39370246.75,30827105,13443813,0.43610365,0.56389635,20655,67.0,0.13667392883079157,0.8633260711692085,0.2994297211692084,-0.2994297211692084
Colorado,5697155,5758486,5807719,5812069,5768857.25,4509576,3308162,0.73358604,0.26641395999999995,1714,38.0,0.2526254375729288,0.7473745624270711,0.4809606024270712,-0.48096060242707117
Connecticut,3574561,3566022,3557006,3605597,3575796.5,2869227,1989916,0.693537319,0.30646268099999996,1226,43.0,0.2544861337683524,0.7455138662316476,0.43905118523164766,-0.43905118523164766
Delaware,966985,976668,986809,1003384,983461.5,783543,500550,0.638829011,0.361170989,322,41.0,0.2236024844720497,0.7763975155279503,0.41522652652795033,-0.41522652652795033
District of Columbia,704147,708253,712816,670050,698816.5,575161,244170,0.424524611,0.575475389,1026,178.0,0.1695906432748538,0.8304093567251463,0.2549339677251462,-0.2549339677251463
Florida,21254926,21492056,21733312,21781128,21565355.5,17339232,10438522,0.602017552,0.39798244800000004,11971,69.0,0.18561523682232062,0.8143847631776794,0.41640231517767934,-0.41640231517767934
Georgia,10519389,10628020,10710017,10799566,10664248.0,8220274,4465194,0.543192842,0.45680715800000005,5169,63.0,0.22963822789707874,0.7703617721029212,0.3135546141029212,-0.3135546141029212
Hawaii,1423102,1415615,1407006,1441553,1421819.0,1155905,290286,0.251133095,0.7488669050000001,555,48.0,0.1837837837837838,0.8162162162162162,0.06734931121621618,-0.06734931121621612
Idaho,1752074,1789060,1826913,1900923,1817242.5,1376400,1156336,0.840116245,0.15988375499999996,1229,89.0,0.5183075671277462,0.48169243287225383,0.32180867787225387,-0.32180867787225387
